,lot,am_or_pm,browser_info,company,credit_card,cc_exp_date,cc_security_code,cc_provider,job,ip_address,language,purchase_price
480,66 tf,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:4.0; sl-SI) AppleWebKit/531.31.6 (KHTML, like Gecko) Version/4.1 Safari/531.31.6",Washington and Sons,210070658942775,03/17,221,Discover,"Administrator, education",96.181.253.50,it,31.49
481,58 yx,PM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2; rv:1.9.4.20) Gecko/2011-02-10 11:00:17 Firefox/10.0,Howell Group,6011937175189478,12/20,205,Maestro,Tour manager,121.103.90.20,zh,25.87
482,54 hB,AM,Opera/8.57.(Windows 95; sl-SI) Presto/2.9.190 Version/11.00,Wright-Mills,869993993525951,05/20,192,VISA 13 digit,Arts administrator,181.220.238.33,zh,20.22
483,16 Ox,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_2) AppleWebKit/5362 (KHTML, like Gecko) Chrome/15.0.815.0 Safari/5362","Rubio, Munoz and Oneill",4311625396076465,09/17,236,VISA 13 digit,"Administrator, Civil Service",235.254.171.197,en,66.21
484,48 Df,AM,Opera/8.10.(X11; Linux i686; it-IT) Presto/2.9.184 Version/11.00,"Barr, Russell and Conner",5101961894707215,07/19,8158,Diners Club / Carte Blanche,Training and development officer,203.167.152.134,fr,22.79
485,03 sm,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; en-US) AppleWebKit/535.36.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6535.36.5",Villa-Nolan,30530595987983,05/26,840,Mastercard,Estate manager/land agent,41.183.25.30,en,55.68
486,26 Vx,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0),"Ramirez, Greene and Green",5520882946424430,12/24,244,Maestro,Company secretary,72.71.220.81,fr,22.12
487,49 Ey,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/4.1),Spencer-Ross,4052486504249624,04/18,891,Voyager,Video editor,108.81.105.34,zh,6.19
488,94 EY,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; en-US) AppleWebKit/535.23.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6535.23.6",Williams-Rowe,869900331381955,06/19,393,American Express,Geochemist,107.88.148.190,el,17.13
489,51 NV,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; it-IT) AppleWebKit/535.31.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6535.31.7",Patterson LLC,5581440780504282,06/18,55,JCB 15 digit,"Therapist, horticultural",205.17.93.253,ru,16.58
490,34 mP,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5 rv:5.0; it-IT) AppleWebKit/531.23.3 (KHTML, like Gecko) Version/4.1 Safari/531.23.3",Walker PLC,869925193886692,10/22,401,VISA 16 digit,Research scientist (medical),54.134.204.198,de,74.63
491,05 lN,PM,Opera/9.32.(X11; Linux x86_64; en-US) Presto/2.9.161 Version/10.00,Stuart and Sons,4395782900547140,03/17,404,Mastercard,Chartered public finance accountant,83.116.83.204,pt,74.38
492,48 Tu,PM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1; rv:1.9.4.20) Gecko/2010-02-22 11:59:33 Firefox/3.6.5,Nelson LLC,3337562003890230,04/24,171,Maestro,Broadcast engineer,203.79.48.60,de,32.36
493,64 Pg,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2013-04-03 03:59:52 Firefox/3.6.10,"Rogers, Rogers and Guzman",869990732910890,03/24,967,VISA 13 digit,Community pharmacist,252.186.182.231,ru,95.13
494,05 LM,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5340 (KHTML, like Gecko) Chrome/15.0.865.0 Safari/5340",Shaw-Travis,869933085180166,11/24,467,American Express,"Sound technician, broadcasting/film/video",248.188.197.13,es,39.68
495,47 tD,PM,Opera/9.99.(X11; Linux x86_64; en-US) Presto/2.9.176 Version/10.00,Moore PLC,6011834084089305,01/19,129,Mastercard,Private music teacher,140.200.140.169,en,29.23
496,96 Tn,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5332 (KHTML, like Gecko) Chrome/14.0.897.0 Safari/5332",Monroe Group,4856754226144987,09/17,9758,JCB 15 digit,Science writer,183.109.174.19,fr,30.75
497,97 yA,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5360 (KHTML, like Gecko) Chrome/14.0.826.0 Safari/5360",Smith Ltd,60440948408,09/23,845,Diners Club / Carte Blanche,"Engineer, manufacturing",198.228.180.125,de,30.83
498,39 AV,AM,Mozilla/5.0 (Windows NT 6.0; sl-SI; rv:1.9.1.20) Gecko/2014-06-06 13:11:03 Firefox/3.6.14,White-Bender,3112958909927467,12/23,865,Mastercard,IT technical support officer,140.16.25.52,zh,20.24
499,14 AQ,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/3.0),Bray-Williams,3088425067417947,08/23,808,Diners Club / Carte Blanche,"Geneticist, molecular",99.235.214.27,pt,66.33
500,68 ji,AM,"Mozilla/5.0 (Windows 95) AppleWebKit/5311 (KHTML, like Gecko) Chrome/14.0.873.0 Safari/5311","Snow, Thomas and Smith",30535854310926,12/16,917,Maestro,Structural engineer,230.200.132.55,el,12.17
501,22 Mb,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/4.1),"Potts, Daniels and Lyons",30496707655050,11/18,276,American Express,Television floor manager,72.12.40.209,de,33.68
502,94 ds,AM,Opera/8.59.(X11; Linux i686; it-IT) Presto/2.9.168 Version/12.00,"Cole, Harper and Hernandez",630416448854,11/17,370,VISA 16 digit,Emergency planning/management officer,146.60.220.129,pt,53.4
503,51 HD,AM,Opera/8.53.(X11; Linux x86_64; sl-SI) Presto/2.9.170 Version/11.00,Harmon-Williams,5591030368422094,08/24,885,VISA 16 digit,Risk manager,53.109.98.53,es,1.23
504,32 fm,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2012-12-23 17:39:34 Firefox/3.8,Rodriguez and Sons,4806277457040485,02/23,291,JCB 16 digit,IT consultant,4.151.87.169,it,26.79
505,73 jm,PM,Mozilla/5.0 (Windows NT 6.0; sl-SI; rv:1.9.0.20) Gecko/2010-01-08 21:03:32 Firefox/3.8,Ellis-Mcclain,341402259460588,05/18,836,Maestro,Geographical information systems officer,151.153.48.94,pt,21.94
506,11 Jj,AM,Opera/8.23.(Windows NT 5.2; it-IT) Presto/2.9.183 Version/12.00,"Foley, George and Colon",30009888666943,03/17,678,VISA 13 digit,"Surveyor, insurance",53.113.137.105,de,26.54
507,22 Zd,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.1),Parks Inc,869997900279677,04/26,227,Voyager,Advice worker,177.62.144.73,ru,22.8
508,53 rJ,PM,Mozilla/5.0 (Windows NT 5.2; it-IT; rv:1.9.1.20) Gecko/2014-09-11 12:42:42 Firefox/10.0,"Mcdonald, Green and Jennings",4040542728940631,06/26,101,VISA 16 digit,Lawyer,13.128.34.120,ru,94.4
509,14 xo,AM,Opera/9.60.(X11; Linux x86_64; en-US) Presto/2.9.161 Version/11.00,Gibson Inc,4070206675068407,12/19,264,JCB 16 digit,Equities trader,219.100.96.176,fr,13.13
510,84 pI,PM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5321 (KHTML, like Gecko) Chrome/13.0.891.0 Safari/5321",Proctor and Sons,3096441557893661,10/19,435,American Express,Immigration officer,146.245.168.157,ru,43.26
511,82 HY,PM,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.46.4 (KHTML, like Gecko) Version/5.1 Safari/532.46.4",Mccarty PLC,348349895332304,03/17,684,Maestro,"Surveyor, building control",80.204.183.253,pt,72.2
512,26 Cw,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.0),Gill-Patel,6011478386190922,06/26,441,Discover,Minerals surveyor,142.247.195.224,es,66.06
513,90 WT,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; it-IT) AppleWebKit/535.42.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.42.4",Bright PLC,630438419693,11/19,173,American Express,Energy engineer,156.70.208.94,ru,75.1
514,72 Kp,AM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_3 rv:3.0; en-US) AppleWebKit/533.19.1 (KHTML, like Gecko) Version/5.1 Safari/533.19.1",Gonzalez-Johnson,4001289486825,03/20,326,Discover,Therapeutic radiographer,23.65.108.201,pt,38.74
515,24 BE,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_8 rv:5.0; sl-SI) AppleWebKit/532.46.2 (KHTML, like Gecko) Version/4.0.2 Safari/532.46.2",Hernandez Ltd,4081411570167,04/23,139,Maestro,Curator,214.83.196.16,el,99.2
516,31 nU,PM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5310 (KHTML, like Gecko) Chrome/14.0.873.0 Safari/5310",Lewis Inc,503870941815,01/18,9871,JCB 16 digit,"Geologist, wellsite",236.0.4.23,pt,3.57
517,33 NC,PM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_0; rv:1.9.2.20) Gecko/2015-08-22 05:14:04 Firefox/13.0,Norton PLC,180048630898840,11/20,310,American Express,Archivist,38.128.89.209,en,77.85
518,88 Rl,AM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_4 rv:6.0; sl-SI) AppleWebKit/534.7.6 (KHTML, like Gecko) Version/4.0 Safari/534.7.6","Gordon, Leblanc and Rice",3337509951246097,09/23,417,VISA 16 digit,Educational psychologist,116.77.76.94,fr,48.85
519,56 ie,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_7) AppleWebKit/5340 (KHTML, like Gecko) Chrome/13.0.890.0 Safari/5340","Swanson, Chambers and Beck",30425939429059,02/19,47,Mastercard,"Geneticist, molecular",114.55.206.229,en,59.26
520,41 cP,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; it-IT) AppleWebKit/532.21.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6532.21.2","Smith, Brown and Pollard",180070468438002,05/20,163,JCB 16 digit,"Psychotherapist, dance movement",62.210.125.175,fr,24.02
521,93 tF,AM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5330 (KHTML, like Gecko) Chrome/13.0.872.0 Safari/5330",Adams and Sons,4813794098477,12/16,6787,VISA 16 digit,Child psychotherapist,230.22.56.29,en,82.68
522,37 qr,AM,Opera/9.84.(Windows NT 5.1; sl-SI) Presto/2.9.161 Version/10.00,Jensen-Anderson,5510361404763672,01/18,181,JCB 15 digit,Petroleum engineer,197.168.145.23,zh,52.29
523,04 JI,AM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_7; rv:1.9.4.20) Gecko/2010-10-28 00:08:36 Firefox/3.6.15,"Johnson, Clarke and Foster",3337558809417798,01/21,576,JCB 16 digit,Advertising art director,130.124.17.177,en,98.47
524,11 vl,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5362 (KHTML, like Gecko) Chrome/13.0.841.0 Safari/5362",Simmons PLC,5243043906670035,04/17,278,Mastercard,"Therapist, drama",110.7.153.190,de,22.37
525,25 nk,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.1; Trident/4.1),"Huynh, Mckinney and Norris",6011292620696945,10/25,67,Maestro,Forensic psychologist,1.124.121.39,fr,85.94
526,30 UA,PM,Opera/9.90.(Windows 98; sl-SI) Presto/2.9.171 Version/12.00,Hunt and Sons,210083023276431,12/22,228,VISA 13 digit,Community pharmacist,169.118.139.26,en,17.69
527,80 bb,AM,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/534.34.5 (KHTML, like Gecko) Version/4.0.3 Safari/534.34.5",Gray-Pennington,5376960247827348,09/23,681,Mastercard,Land/geomatics surveyor,201.216.124.75,zh,72.34
528,82 la,AM,Opera/8.19.(X11; Linux i686; sl-SI) Presto/2.9.176 Version/10.00,"Brown, Gordon and Bush",4712965842996,02/22,563,Discover,Games developer,139.169.80.237,en,59.91
529,43 Gs,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_8 rv:2.0; en-US) AppleWebKit/532.16.3 (KHTML, like Gecko) Version/5.0 Safari/532.16.3",Campbell-Lin,4916149472555085,06/26,5836,Discover,Hydrographic surveyor,108.232.15.50,ru,44.51
530,84 MW,PM,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/534.36.1 (KHTML, like Gecko) Version/5.1 Safari/534.36.1",Wilson Ltd,4129137250878095,03/18,879,VISA 13 digit,Immunologist,67.98.138.80,zh,86.33
531,16 rw,AM,Opera/8.75.(Windows NT 5.0; sl-SI) Presto/2.9.184 Version/12.00,"Logan, Hansen and Trujillo",869926259900781,08/21,382,VISA 16 digit,Oncologist,191.106.21.74,ru,40.09
532,45 lv,AM,Opera/9.99.(Windows NT 5.01; it-IT) Presto/2.9.169 Version/12.00,Rose-Rowe,869999406267636,03/25,5951,JCB 16 digit,Estate manager/land agent,204.17.171.41,ru,14.76
533,26 Hu,PM,Opera/9.69.(Windows 98; sl-SI) Presto/2.9.182 Version/10.00,"Sanchez, Lewis and Davis",869939482319208,07/18,835,JCB 16 digit,Fisheries officer,32.178.231.100,ru,5.56
534,42 HN,AM,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2011-07-21 10:48:03 Firefox/3.6.15,Norman-Smith,869918607298786,08/23,416,American Express,Sports coach,60.179.119.223,it,27.33
535,76 Uc,PM,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.24.7 (KHTML, like Gecko) Version/5.0.5 Safari/534.24.7",Williams-Brown,3528112629312539,06/25,561,VISA 16 digit,Haematologist,176.64.197.217,ru,64.15
536,86 YU,PM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5330 (KHTML, like Gecko) Chrome/13.0.862.0 Safari/5330",Rush-Stone,180007117605599,11/20,60,Diners Club / Carte Blanche,Sports therapist,37.223.148.109,el,23.31
537,84 LD,AM,Opera/9.29.(Windows NT 5.01; sl-SI) Presto/2.9.166 Version/12.00,"Brooks, Ward and Robles",503807452985,11/19,289,Diners Club / Carte Blanche,"Horticulturist, amenity",46.21.83.171,de,27.68
538,77 mh,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7 rv:3.0; en-US) AppleWebKit/534.2.4 (KHTML, like Gecko) Version/5.1 Safari/534.2.4",Zamora Inc,869926086984214,10/18,171,JCB 16 digit,"Research officer, political party",116.178.252.126,zh,83.59
539,62 Uw,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/4.1),Becker Group,4897180782679,02/17,138,VISA 13 digit,"Lecturer, further education",18.101.93.7,zh,21.08
540,85 tv,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.1),Howard-Mcclain,4002963739921483,09/18,302,American Express,"Radiographer, therapeutic",8.50.163.98,en,94.78
541,91 Dx,AM,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5310 (KHTML, like Gecko) Chrome/15.0.813.0 Safari/5310",Potter-Newton,4051276150709752,08/22,996,VISA 16 digit,Waste management officer,236.62.151.72,it,94.39
542,54 qK,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_7) AppleWebKit/5362 (KHTML, like Gecko) Chrome/14.0.834.0 Safari/5362",Singleton-Williams,3158150515098603,11/16,139,Discover,Theatre manager,233.137.51.67,de,45.69
543,44 jG,PM,Opera/8.20.(X11; Linux x86_64; sl-SI) Presto/2.9.165 Version/11.00,"Krause, Sanders and Brewer",5575862881230194,06/25,701,VISA 13 digit,Data processing manager,82.167.240.145,ru,6.1
544,96 rN,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8 rv:6.0; en-US) AppleWebKit/533.19.5 (KHTML, like Gecko) Version/5.1 Safari/533.19.5","Adams, Garcia and Torres",30295880347117,12/16,732,VISA 13 digit,Nature conservation officer,18.8.123.241,it,58.31
545,69 qk,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/4.1),"Bennett, Hammond and Hall",3112683311573325,07/22,789,JCB 16 digit,"Designer, television/film set",222.147.235.247,el,19.14
546,27 zS,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_6 rv:3.0; sl-SI) AppleWebKit/534.50.1 (KHTML, like Gecko) Version/4.0.5 Safari/534.50.1","Martinez, Boyd and Harrison",5374771901083249,07/24,779,Maestro,Artist,143.241.254.74,fr,11.34
547,80 Fn,AM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5341 (KHTML, like Gecko) Chrome/15.0.815.0 Safari/5341","Carson, Smith and Holder",4146363380459932,07/17,987,JCB 15 digit,Interpreter,6.68.77.205,en,65.92
548,00 YW,PM,Opera/9.89.(Windows NT 5.0; sl-SI) Presto/2.9.174 Version/12.00,Smith and Sons,4161651309870,08/18,21,Mastercard,"Teacher, special educational needs",205.7.121.30,fr,14.25
549,56 HK,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2016-02-27 14:30:46 Firefox/3.8,Brock-Dixon,561280661522,01/23,786,Discover,"Conservator, furniture",88.27.238.65,el,26.59
550,40 Ai,PM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1; rv:1.9.4.20) Gecko/2012-05-11 14:40:56 Firefox/3.6.6,Roberts LLC,180054117657378,01/25,304,Voyager,"Research officer, government",118.191.31.116,de,0.03
551,40 YX,AM,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/535.47.3 (KHTML, like Gecko) Version/5.1 Safari/535.47.3",Avila-Boone,5178365057606545,12/21,158,Mastercard,"Buyer, retail",138.225.184.135,zh,98.78
552,47 kS,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sl-SI) AppleWebKit/531.45.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6531.45.3",Whitaker-Adams,3528931591893808,02/24,222,Maestro,"Administrator, education",215.152.43.138,de,73.38
553,11 ra,AM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_8) AppleWebKit/5361 (KHTML, like Gecko) Chrome/15.0.864.0 Safari/5361","Palmer, Wise and Stuart",180084823116765,04/25,425,Discover,Agricultural engineer,249.117.125.227,zh,31.26
554,56 uS,AM,Opera/8.64.(X11; Linux x86_64; sl-SI) Presto/2.9.161 Version/10.00,"Sherman, Murray and Haney",4623746269319817,11/21,190,Mastercard,"Radiographer, therapeutic",215.159.169.83,es,42.43
555,74 zn,PM,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5312 (KHTML, like Gecko) Chrome/13.0.864.0 Safari/5312","Martin, Chase and Gonzalez",3112249549378232,12/24,353,Voyager,Sales executive,7.242.254.195,zh,18.1
556,11 yg,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2013-06-21 15:43:45 Firefox/4.0,"Lambert, Armstrong and Silva",4275686163460773,05/25,120,VISA 13 digit,Secretary/administrator,249.55.116.151,en,86.97
557,39 HM,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; it-IT) AppleWebKit/532.6.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.6.4",Morrow-Scott,30264346974344,07/23,797,VISA 16 digit,IT sales professional,83.50.144.0,de,97.66
558,26 ML,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5 rv:5.0; sl-SI) AppleWebKit/534.16.6 (KHTML, like Gecko) Version/5.0.3 Safari/534.16.6","Braun, Nelson and Miller",30250212317379,06/25,352,Diners Club / Carte Blanche,Armed forces logistics/support/administrative officer,55.83.163.190,fr,69.01
559,55 QO,AM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.0),Sanchez-Smith,3528079589307405,08/18,469,Discover,Hospital pharmacist,239.190.111.170,es,0.22
560,48 dy,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; en-US) AppleWebKit/534.10.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6534.10.2",Ramirez-Thompson,5236489883183345,11/18,227,Maestro,Medical illustrator,191.55.50.234,es,65.8
561,49 uk,AM,Mozilla/5.0 (Windows 98; Win 9x 4.90; en-US; rv:1.9.0.20) Gecko/2013-11-06 23:24:29 Firefox/7.0,Mccall-Humphrey,3337437173271885,06/23,519,Discover,Field trials officer,42.113.49.27,es,43.34
562,31 HF,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5332 (KHTML, like Gecko) Chrome/15.0.864.0 Safari/5332",Mendoza PLC,6011361303091110,03/25,332,JCB 15 digit,Petroleum engineer,15.138.63.145,zh,14.48
563,20 EF,PM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_6 rv:6.0; en-US) AppleWebKit/531.24.2 (KHTML, like Gecko) Version/4.1 Safari/531.24.2",Fox-Nelson,4979232437914,03/21,795,JCB 16 digit,Barrister's clerk,153.146.94.122,zh,86.93
564,30 qe,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.1),"Bishop, Mullen and Curry",3337034309160494,08/22,257,VISA 16 digit,Psychotherapist,24.195.79.114,el,80.46
565,43 Bt,AM,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5341 (KHTML, like Gecko) Chrome/15.0.821.0 Safari/5341",White-Rice,4708263230481088,11/21,6669,American Express,Air cabin crew,47.152.1.93,it,79.28
566,64 Sl,AM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.0),"Mckenzie, Dorsey and Jackson",210066082674851,05/25,835,Mastercard,Psychiatrist,43.255.24.213,ru,81.12
567,33 Tu,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_5 rv:4.0; it-IT) AppleWebKit/533.39.3 (KHTML, like Gecko) Version/5.0 Safari/533.39.3","Haney, Murray and Duran",4069646368895,06/24,200,JCB 15 digit,Housing manager/officer,124.119.105.150,el,18.49
568,43 sR,PM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_1; rv:1.9.5.20) Gecko/2012-09-18 15:16:39 Firefox/7.0,Krause-Wade,4606449122418121,03/17,430,Maestro,"Administrator, arts",40.209.246.2,fr,8.78
569,84 sX,PM,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/5.1),"Duran, Diaz and Randall",4798160391755097,01/23,61,VISA 13 digit,Illustrator,73.120.239.16,de,28.62
570,98 TP,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.0),Garcia-Solis,3112384726807446,08/26,1,JCB 16 digit,Sports development officer,22.94.136.92,fr,39.72
571,56 NV,PM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5321 (KHTML, like Gecko) Chrome/13.0.856.0 Safari/5321",Quinn-Andrews,4998343413073180,03/25,240,Voyager,Marine scientist,133.86.72.42,pt,53.98
572,36 Il,AM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2; rv:1.9.4.20) Gecko/2013-12-15 17:58:01 Firefox/3.6.20,"Cook, Le and Rhodes",4613291898702382,07/25,79,VISA 16 digit,Multimedia specialist,144.122.247.178,el,75.81
573,18 aS,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2012-01-24 06:22:00 Firefox/3.8,Robinson-Walters,5376546485679309,11/22,875,Discover,"Administrator, arts",152.178.113.245,ru,24.95
574,86 nG,PM,Opera/9.76.(X11; Linux i686; it-IT) Presto/2.9.189 Version/10.00,Mckenzie-Meyer,4369058179051623,03/24,872,JCB 16 digit,"Lecturer, further education",197.209.154.156,en,3.48
575,32 Rk,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/4.1),"Soto, David and Carter",370545785678265,05/20,13,JCB 16 digit,Clothing/textile technologist,47.30.105.213,zh,82.88
576,41 bA,PM,Opera/8.47.(Windows 98; Win 9x 4.90; it-IT) Presto/2.9.165 Version/11.00,"Watson, Gomez and Strickland",5389223532809728,05/22,494,Mastercard,Cytogeneticist,250.89.35.245,fr,46.21
577,37 Wh,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; sl-SI) AppleWebKit/534.48.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6534.48.6","Dudley, Schultz and Richardson",3528205860357559,11/22,943,JCB 16 digit,Multimedia programmer,18.65.145.107,pt,54.51
578,18 mz,PM,Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.2.20) Gecko/2011-03-08 19:06:55 Firefox/3.8,Munoz PLC,5122563833028037,11/16,206,JCB 16 digit,Publishing rights manager,82.205.194.112,en,4.04
579,47 Cc,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3 rv:2.0; en-US) AppleWebKit/533.34.1 (KHTML, like Gecko) Version/4.0 Safari/533.34.1","Flores, Terry and Hall",3337404316723743,03/22,280,Maestro,Occupational hygienist,43.58.72.168,fr,36.54
580,53 qv,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; it-IT) AppleWebKit/531.16.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.16.5","Trevino, Bradford and Gonzalez",4912891641434809,07/25,4,Maestro,"Scientist, research (physical sciences)",22.25.246.144,ru,62.63
581,62 Eg,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/3.0),Meadows PLC,4870083072168193,05/20,215,VISA 16 digit,Colour technologist,121.51.16.187,es,47.49
582,13 Ja,PM,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.41.3 (KHTML, like Gecko) Version/4.0.2 Safari/534.41.3","Davenport, Scott and Hodge",210060866774870,01/25,376,American Express,Commercial horticulturist,227.164.5.38,zh,16.69
583,52 ZM,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.2; Trident/5.1),Miller-Richmond,676127898077,01/26,610,JCB 15 digit,Charity fundraiser,12.162.37.198,de,67.85
584,58 fr,AM,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.14.7 (KHTML, like Gecko) Version/5.1 Safari/532.14.7",Martinez PLC,30248837912509,11/18,86,VISA 16 digit,Research scientist (maths),54.203.124.152,en,7.08
585,50 Cb,PM,Opera/9.70.(Windows 98; Win 9x 4.90; en-US) Presto/2.9.189 Version/10.00,Levy and Sons,30392380141890,07/24,328,JCB 16 digit,Planning and development surveyor,131.184.93.144,pt,52.86
586,82 Xb,AM,Opera/9.63.(Windows NT 4.0; en-US) Presto/2.9.182 Version/12.00,"Diaz, Smith and Kelley",4949538548169,06/25,365,American Express,Counselling psychologist,30.242.149.160,el,32.38
587,42 jv,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_4) AppleWebKit/5332 (KHTML, like Gecko) Chrome/15.0.812.0 Safari/5332",Carter-Vazquez,3112756437090406,02/17,379,Maestro,Lexicographer,254.156.146.238,de,37.34
588,11 JQ,PM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0) AppleWebKit/5352 (KHTML, like Gecko) Chrome/14.0.884.0 Safari/5352",Jenkins Ltd,5148131686170312,06/22,191,Voyager,Risk manager,89.130.135.208,en,73.89
